,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,error_class,0.0,0.0,0.0,7.0
1,Llama-3.1-8B-Instruct,negative,0.46639150943396224,0.7031111111111111,0.5607940446650124,1125.0
2,Llama-3.1-8B-Instruct,neutral,0.784608580274215,0.7687973997833153,0.7766225238043122,4615.0
3,Llama-3.1-8B-Instruct,positive,0.7247557003257329,0.5195563339171045,0.6052363141788507,1713.0
4,Llama-3.1-8B-Instruct,macro avg,0.49393894750847755,0.4978662112028827,0.4856632206620438,7453.0
5,Llama-3.1-8B-Instruct,weighted avg,0.7228184034263639,0.7015966724808802,0.7046526303224756,7453.0
6,Llama-3.1-70B-Instruct,negative,0.4681948424068768,0.7262222222222222,0.5693379790940767,1125.0
7,Llama-3.1-70B-Instruct,neutral,0.8014254116490538,0.7066088840736728,0.7510363887609397,4615.0
8,Llama-3.1-70B-Instruct,positive,0.6711409395973155,0.642148277875073,0.6563245823389021,1713.0
9,Llama-3.1-70B-Instruct,macro avg,0.6469203978844154,0.6916597947236559,0.6588996500646395,7453.0
10,Llama-3.1-70B-Instruct,weighted avg,0.7211809877899262,0.6947537904199651,0.7018411606278159,7453.0
11,Ministral-8B-Instruct-2410,negative,0.37031539888682746,0.8871111111111111,0.5225130890052356,1125.0
12,Ministral-8B-Instruct-2410,neutral,0.8757939308398024,0.5378114842903575,0.6663981742515774,4615.0
13,Ministral-8B-Instruct-2410,positive,0.6091476091476091,0.684179801517805,0.644487214737421,1713.0
14,Ministral-8B-Instruct-2410,macro avg,0.6184189796247463,0.7030341323064245,0.611132825998078,7453.0
15,Ministral-8B-Instruct-2410,weighted avg,0.7382079255391417,0.6241781832818999,0.6396432843347809,7453.0
16,gemma-2-9b-it,error_class,0.0,0.0,0.0,4369.0
17,gemma-2-9b-it,negative,0.4953604568165596,0.6168888888888889,0.5494853523357086,1125.0
18,gemma-2-9b-it,neutral,0.8352272727272727,0.03185265438786566,0.061365059486537255,4615.0
19,gemma-2-9b-it,positive,0.6794956867949569,0.5977816695855225,0.6360248447204969,1713.0
20,gemma-2-9b-it,macro avg,0.5025208540846973,0.31163080321556924,0.3117188141356857,7453.0
21,gemma-2-9b-it,weighted avg,0.7481323613356708,0.25023480477660004,0.2671248262329603,7453.0
22,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,261.0
23,SauerkrautLM-gemma-2-9b-it,negative,0.35315058739765043,0.8817777777777778,0.5043213014743264,1125.0
24,SauerkrautLM-gemma-2-9b-it,neutral,0.8969636635141862,0.390465872156013,0.5440821256038647,4615.0
25,SauerkrautLM-gemma-2-9b-it,positive,0.550547598989048,0.7629889083479277,0.6395889405431857,1713.0
26,SauerkrautLM-gemma-2-9b-it,macro avg,0.45016546247522116,0.5088081395704296,0.4219980919053442,7453.0
27,SauerkrautLM-gemma-2-9b-it,weighted avg,0.7352569106411598,0.5502482221924058,0.5600317092406991,7453.0
28,Teuken-7B-instruct-research-v0.4,error_class,0.0,0.0,0.0,1.0
29,Teuken-7B-instruct-research-v0.4,negative,0.17284716834755626,0.9902222222222222,0.29431968295904887,1125.0
30,Teuken-7B-instruct-research-v0.4,neutral,0.6428571428571429,0.0019501625135427952,0.0038885288399222295,4615.0
31,Teuken-7B-instruct-research-v0.4,positive,0.6565961732124874,0.38061879743140686,0.4818920916481892,1713.0
32,Teuken-7B-instruct-research-v0.4,macro avg,0.36807512110429663,0.34319779554179297,0.19502507586179008,7453.0
33,Teuken-7B-instruct-research-v0.4,weighted avg,0.5750688344813775,0.2381591305514558,0.15759242679706417,7453.0
