,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,negative,0.8409090909090909,0.4269230769230769,0.5663265306122449,260.0
1,Llama-3.1-8B-Instruct,neutral,0.2939297124600639,0.9292929292929293,0.44660194174757284,198.0
2,Llama-3.1-8B-Instruct,positive,1.0,0.044585987261146494,0.08536585365853659,314.0
3,Llama-3.1-8B-Instruct,macro avg,0.7116129344563848,0.4669339978257176,0.3660981086727848,772.0
4,Llama-3.1-8B-Instruct,weighted avg,0.7653295941754614,0.40025906735751293,0.33999606279013417,772.0
5,Llama-3.1-70B-Instruct,negative,0.8522167487684729,0.6653846153846154,0.7473002159827213,260.0
6,Llama-3.1-70B-Instruct,neutral,0.4166666666666667,0.8585858585858586,0.5610561056105611,198.0
7,Llama-3.1-70B-Instruct,positive,0.9440993788819876,0.4840764331210191,0.64,314.0
8,Llama-3.1-70B-Instruct,macro avg,0.7376609314390423,0.6693489690304976,0.6494521071977609,772.0
9,Llama-3.1-70B-Instruct,weighted avg,0.7778802586123668,0.6411917098445595,0.6558901101896356,772.0
10,Ministral-8B-Instruct-2410,negative,0.7421875,0.7307692307692307,0.7364341085271318,260.0
11,Ministral-8B-Instruct-2410,neutral,0.3348115299334812,0.7626262626262627,0.46533127889060094,198.0
12,Ministral-8B-Instruct-2410,positive,0.9538461538461539,0.19745222929936307,0.32717678100263853,314.0
13,Ministral-8B-Instruct-2410,macro avg,0.6769483945932118,0.5636159075649522,0.5096473894734571,772.0
14,Ministral-8B-Instruct-2410,weighted avg,0.7237942036716601,0.522020725388601,0.5004429671919971,772.0
15,gemma-2-9b-it,,0.0,0.0,0.0,0.0
16,gemma-2-9b-it,negative,0.8536585365853658,0.1346153846153846,0.23255813953488372,260.0
17,gemma-2-9b-it,neutral,0.3333333333333333,0.010101010101010102,0.0196078431372549,198.0
18,gemma-2-9b-it,positive,0.9642857142857143,0.08598726114649681,0.15789473684210525,314.0
19,gemma-2-9b-it,macro avg,0.5378193960511034,0.057675913965722886,0.10251517987856097,772.0
20,gemma-2-9b-it,weighted avg,0.7652032821216442,0.08290155440414508,0.14757307848272963,772.0
21,SauerkrautLM-gemma-2-9b-it,,0.0,0.0,0.0,0.0
22,SauerkrautLM-gemma-2-9b-it,negative,0.740484429065744,0.823076923076923,0.7795992714025501,260.0
23,SauerkrautLM-gemma-2-9b-it,neutral,0.3654485049833887,0.5555555555555556,0.4408817635270541,198.0
24,SauerkrautLM-gemma-2-9b-it,positive,0.9457364341085271,0.3885350318471338,0.5507900677200903,314.0
25,SauerkrautLM-gemma-2-9b-it,macro avg,0.512917342039415,0.44179187761990313,0.44281777566242364,772.0
26,SauerkrautLM-gemma-2-9b-it,weighted avg,0.7277797873754948,0.5777202072538861,0.5996612448278863,772.0
27,Teuken-7B-instruct-research-v0.4,negative,0.36909871244635195,0.9923076923076923,0.5380604796663191,260.0
28,Teuken-7B-instruct-research-v0.4,neutral,0.25,0.005050505050505051,0.009900990099009901,198.0
29,Teuken-7B-instruct-research-v0.4,positive,0.8985507246376812,0.19745222929936307,0.3237597911227154,314.0
30,Teuken-7B-instruct-research-v0.4,macro avg,0.5058831456946776,0.39827014221918683,0.2905737536293482,772.0
31,Teuken-7B-instruct-research-v0.4,weighted avg,0.5538997315703152,0.41580310880829013,0.3154361336339113,772.0
