,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,error_class,0.0,0.0,0.0,162.0
1,Llama-3.1-8B-Instruct,negative,0.8815032516258129,0.900134091054211,0.8907212586484693,15661.0
2,Llama-3.1-8B-Instruct,positive,0.9624512929507616,0.9505935274272148,0.9564856607616581,40015.0
3,Llama-3.1-8B-Instruct,macro avg,0.6146515148588582,0.6169092061604753,0.6157356398033759,55676.0
4,Llama-3.1-8B-Instruct,weighted avg,0.9396815667637147,0.9363998850492133,0.937986912620724,55676.0
5,Llama-3.1-70B-Instruct,error_class,0.0,0.0,0.0,98.0
6,Llama-3.1-70B-Instruct,negative,0.9284665006067574,0.9282293595555839,0.9283479149370969,15661.0
7,Llama-3.1-70B-Instruct,positive,0.9736980536559705,0.9714107209796327,0.9725530424339471,40015.0
8,Llama-3.1-70B-Instruct,macro avg,0.6340548514209093,0.6332133601784055,0.6336336524570146,55676.0
9,Llama-3.1-70B-Instruct,weighted avg,0.9609749529967327,0.9592643149651555,0.9601186631371555,55676.0
10,Ministral-8B-Instruct-2410,error_class,0.0,0.0,0.0,63.0
11,Ministral-8B-Instruct-2410,negative,0.8245848657082359,0.9448949620075346,0.8806498646115393,15661.0
12,Ministral-8B-Instruct-2410,positive,0.9785488623994478,0.9211295764088466,0.9489714476970212,40015.0
13,Ministral-8B-Instruct-2410,macro avg,0.6010445760358946,0.622008179472127,0.6098737707695202,55676.0
14,Ministral-8B-Instruct-2410,weighted avg,0.9352406119471691,0.9278144981679718,0.9297533948070555,55676.0
15,gemma-2-9b-it,error_class,0.0,0.0,0.0,39648.0
16,gemma-2-9b-it,negative,0.899109131403118,0.25777408850009575,0.4006749044712421,15661.0
17,gemma-2-9b-it,positive,0.9904662853180793,0.28559290266150195,0.44334956258607644,40015.0
18,gemma-2-9b-it,macro avg,0.6298584722403991,0.18112233038719924,0.28134148901910616,55676.0
19,gemma-2-9b-it,weighted avg,0.9647685989278536,0.2777677994108772,0.4313456862167895,55676.0
20,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,1540.0
21,SauerkrautLM-gemma-2-9b-it,negative,0.8668021761224368,0.9258029500031927,0.8953316042978882,15661.0
22,SauerkrautLM-gemma-2-9b-it,positive,0.9828383544066935,0.9188304385855304,0.9497571812357926,40015.0
23,SauerkrautLM-gemma-2-9b-it,macro avg,0.6165468435097101,0.6148777961962409,0.6150295951778936,55676.0
24,SauerkrautLM-gemma-2-9b-it,weighted avg,0.9501987504820268,0.920791723543358,0.9344479104472208,55676.0
25,Teuken-7B-instruct-research-v0.4,error_class,0.0,0.0,0.0,102.0
26,Teuken-7B-instruct-research-v0.4,negative,0.5045393409549428,0.9581125087797714,0.6609986564172595,15661.0
27,Teuken-7B-instruct-research-v0.4,positive,0.9765425408376558,0.6304635761589404,0.7662379079408951,40015.0
28,Teuken-7B-instruct-research-v0.4,macro avg,0.49369396059753284,0.5295253616462373,0.4757455214527182,55676.0
29,Teuken-7B-instruct-research-v0.4,weighted avg,0.8437736258049098,0.7226273439183849,0.7366353517566926,55676.0
