,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,negative,0.5348837209302325,0.5168539325842697,0.5257142857142857,89.0
1,Llama-3.1-8B-Instruct,neutral,0.48466257668711654,0.6370967741935484,0.5505226480836237,124.0
2,Llama-3.1-8B-Instruct,positive,0.5238095238095238,0.19298245614035087,0.28205128205128205,57.0
3,Llama-3.1-8B-Instruct,macro avg,0.5144519404756243,0.448977720972723,0.4527627386163971,270.0
4,Llama-3.1-8B-Instruct,weighted avg,0.5094813093671704,0.5037037037037037,0.4856677883994957,270.0
5,Llama-3.1-70B-Instruct,negative,0.5636363636363636,0.6966292134831461,0.6231155778894473,89.0
6,Llama-3.1-70B-Instruct,neutral,0.5339805825242718,0.4435483870967742,0.4845814977973568,124.0
7,Llama-3.1-70B-Instruct,positive,0.5087719298245614,0.5087719298245614,0.5087719298245614,57.0
8,Llama-3.1-70B-Instruct,macro avg,0.5354629586617323,0.5496498434681606,0.5388230018371218,270.0
9,Llama-3.1-70B-Instruct,weighted avg,0.538434179987578,0.5407407407407407,0.535353304292715,270.0
10,Ministral-8B-Instruct-2410,negative,0.45180722891566266,0.8426966292134831,0.5882352941176471,89.0
11,Ministral-8B-Instruct-2410,neutral,0.5740740740740741,0.25,0.34831460674157305,124.0
12,Ministral-8B-Instruct-2410,positive,0.52,0.45614035087719296,0.48598130841121495,57.0
13,Ministral-8B-Instruct-2410,macro avg,0.5152937676632455,0.5162789933635588,0.47417706975681173,270.0
14,Ministral-8B-Instruct-2410,weighted avg,0.5223556613284414,0.4888888888888889,0.45646254441431444,270.0
15,gemma-2-9b-it,error_class,0.0,0.0,0.0,133.0
16,gemma-2-9b-it,negative,0.5168539325842697,0.5168539325842697,0.5168539325842697,89.0
17,gemma-2-9b-it,neutral,0.75,0.07258064516129033,0.1323529411764706,124.0
18,gemma-2-9b-it,positive,0.6111111111111112,0.38596491228070173,0.4731182795698925,57.0
19,gemma-2-9b-it,macro avg,0.4694912609238452,0.24384987250656545,0.28058128833265816,270.0
20,gemma-2-9b-it,weighted avg,0.6438271604938272,0.2851851851851852,0.3310352097828379,270.0
21,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,8.0
22,SauerkrautLM-gemma-2-9b-it,negative,0.46496815286624205,0.8202247191011236,0.5934959349593496,89.0
23,SauerkrautLM-gemma-2-9b-it,neutral,0.6111111111111112,0.2661290322580645,0.3707865168539326,124.0
24,SauerkrautLM-gemma-2-9b-it,positive,0.5490196078431373,0.49122807017543857,0.5185185185185185,57.0
25,SauerkrautLM-gemma-2-9b-it,macro avg,0.40627471795512266,0.39439545538365667,0.3707002425829502,270.0
26,SauerkrautLM-gemma-2-9b-it,weighted avg,0.5498298556664155,0.4962962962962963,0.47538600687713073,270.0
27,Teuken-7B-instruct-research-v0.4,negative,0.3531746031746032,1.0,0.5219941348973607,89.0
28,Teuken-7B-instruct-research-v0.4,neutral,0.0,0.0,0.0,124.0
29,Teuken-7B-instruct-research-v0.4,positive,0.7222222222222222,0.22807017543859648,0.3466666666666667,57.0
30,Teuken-7B-instruct-research-v0.4,macro avg,0.35846560846560843,0.40935672514619886,0.28955360052134244,270.0
31,Teuken-7B-instruct-research-v0.4,weighted avg,0.268885949441505,0.37777777777777777,0.2452499185402411,270.0
