,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,error_class,0.0,0.0,0.0,135.0
1,Llama-3.1-8B-Instruct,negative,0.6440536013400335,0.9007117758356609,0.7510611922917997,11099.0
2,Llama-3.1-8B-Instruct,positive,0.9874559833062614,0.9368286071022823,0.9614762993234975,88901.0
3,Llama-3.1-8B-Instruct,macro avg,0.5438365282154316,0.6125134609793145,0.5708458305384324,100000.0
4,Llama-3.1-8B-Instruct,weighted avg,0.9493417529318297,0.93282,0.9381223265940494,100000.0
5,Llama-3.1-70B-Instruct,error_class,0.0,0.0,0.0,1022.0
6,Llama-3.1-70B-Instruct,negative,0.7204369274136716,0.9210739706279845,0.8084938115386137,11099.0
7,Llama-3.1-70B-Instruct,positive,0.9918620559513138,0.9459736110954883,0.9683745084605243,88901.0
8,Llama-3.1-70B-Instruct,macro avg,0.5707663277883285,0.6223491939078243,0.5922894399997126,100000.0
9,Llama-3.1-70B-Instruct,weighted avg,0.961736580934921,0.94321,0.9506293499091616,100000.0
10,Ministral-8B-Instruct-2410,error_class,0.0,0.0,0.0,35.0
11,Ministral-8B-Instruct-2410,negative,0.6169239904988123,0.9360302729975674,0.7436916138730807,11099.0
12,Ministral-8B-Instruct-2410,positive,0.9915308270676692,0.9271099312718643,0.9582388708683571,88901.0
13,Ministral-8B-Instruct-2410,macro avg,0.5361516058554938,0.6210467347564772,0.5673101615804793,100000.0
14,Ministral-8B-Instruct-2410,weighted avg,0.9499532142768917,0.9281,0.9344262708144514,100000.0
15,gemma-2-9b-it,error_class,0.0,0.0,0.0,78942.0
16,gemma-2-9b-it,negative,0.8714511041009464,0.19911703757095234,0.32416574990832414,11099.0
17,gemma-2-9b-it,positive,0.9977324263038548,0.2078716774839428,0.3440603967492995,88901.0
18,gemma-2-9b-it,macro avg,0.6230611768016004,0.1356629050182984,0.22274204888587454,100000.0
19,gemma-2-9b-it,weighted avg,0.9837164623525539,0.2069,0.3418522898964196,100000.0
20,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,3840.0
21,SauerkrautLM-gemma-2-9b-it,negative,0.6670964414646725,0.9323362465086945,0.777723497801661,11099.0
22,SauerkrautLM-gemma-2-9b-it,positive,0.9945193929173693,0.9021945759890215,0.9461099741077801,88901.0
23,SauerkrautLM-gemma-2-9b-it,macro avg,0.553871944794014,0.6115102741659054,0.574611157303147,100000.0
24,SauerkrautLM-gemma-2-9b-it,weighted avg,0.9581787195356345,0.90554,0.927420759102564,100000.0
25,Teuken-7B-instruct-research-v0.4,error_class,0.0,0.0,0.0,13.0
26,Teuken-7B-instruct-research-v0.4,negative,0.26028373850431313,0.9868456617713307,0.4119217751034223,11099.0
27,Teuken-7B-instruct-research-v0.4,positive,0.9975304804338065,0.6497452222134734,0.7869243292213587,88901.0
28,Teuken-7B-instruct-research-v0.4,macro avg,0.41927140631270654,0.5455302946616013,0.3996153681082603,100000.0
29,Teuken-7B-instruct-research-v0.4,weighted avg,0.915703464547052,0.68716,0.745302795739809,100000.0
