,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,negative,0.8854961832061069,0.8345323741007195,0.8592592592592593,139.0
1,Llama-3.1-8B-Instruct,positive,0.6666666666666666,0.7540983606557377,0.7076923076923077,61.0
2,Llama-3.1-8B-Instruct,macro avg,0.7760814249363868,0.7943153673782286,0.7834757834757835,200.0
3,Llama-3.1-8B-Instruct,weighted avg,0.8187531806615777,0.81,0.8130313390313391,200.0
4,Llama-3.1-70B-Instruct,error_class,0.0,0.0,0.0,1.0
5,Llama-3.1-70B-Instruct,negative,0.8376623376623377,0.9280575539568345,0.8805460750853242,139.0
6,Llama-3.1-70B-Instruct,positive,0.7777777777777778,0.5737704918032787,0.660377358490566,61.0
7,Llama-3.1-70B-Instruct,macro avg,0.5384800384800384,0.5006093485867044,0.5136411445252967,200.0
8,Llama-3.1-70B-Instruct,weighted avg,0.819397546897547,0.82,0.8133946165239229,200.0
9,Ministral-8B-Instruct-2410,negative,0.7732558139534884,0.9568345323741008,0.8553054662379421,139.0
10,Ministral-8B-Instruct-2410,positive,0.7857142857142857,0.36065573770491804,0.4943820224719101,61.0
11,Ministral-8B-Instruct-2410,macro avg,0.779485049833887,0.6587451350395094,0.6748437443549261,200.0
12,Ministral-8B-Instruct-2410,weighted avg,0.7770556478405317,0.775,0.7452238158893023,200.0
13,gemma-2-9b-it,error_class,0.0,0.0,0.0,195.0
14,gemma-2-9b-it,negative,0.75,0.02158273381294964,0.04195804195804196,139.0
15,gemma-2-9b-it,positive,1.0,0.01639344262295082,0.03225806451612903,61.0
16,gemma-2-9b-it,macro avg,0.5833333333333334,0.012658725478633488,0.024738702158056996,200.0
17,gemma-2-9b-it,weighted avg,0.82625,0.02,0.03899954883825852,200.0
18,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,13.0
19,SauerkrautLM-gemma-2-9b-it,negative,0.8,0.9496402877697842,0.868421052631579,139.0
20,SauerkrautLM-gemma-2-9b-it,positive,0.8181818181818182,0.29508196721311475,0.43373493975903615,61.0
21,SauerkrautLM-gemma-2-9b-it,macro avg,0.5393939393939394,0.41490741832763295,0.4340519974635384,200.0
22,SauerkrautLM-gemma-2-9b-it,weighted avg,0.8055454545454546,0.75,0.7358417882054534,200.0
23,Teuken-7B-instruct-research-v0.4,negative,0.695,1.0,0.8200589970501475,139.0
24,Teuken-7B-instruct-research-v0.4,positive,0.0,0.0,0.0,61.0
25,Teuken-7B-instruct-research-v0.4,macro avg,0.3475,0.5,0.41002949852507375,200.0
26,Teuken-7B-instruct-research-v0.4,weighted avg,0.4830249999999999,0.695,0.5699410029498525,200.0
