,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,error_class,0.0,0.0,0.0,31.0
1,Llama-3.1-8B-Instruct,negative,0.670752268043996,0.9316433111548897,0.7799595456667185,26903.0
2,Llama-3.1-8B-Instruct,positive,0.9707517331714641,0.8313747486216945,0.8956735127009042,73097.0
3,Llama-3.1-8B-Instruct,macro avg,0.5471680004051533,0.5876726865921947,0.5585443527892076,100000.0
4,Llama-3.1-8B-Instruct,weighted avg,0.8900428770682213,0.85835,0.8645429841496973,100000.0
5,Llama-3.1-70B-Instruct,negative,0.7940607689534236,0.9004943686577705,0.8439350658398941,26903.0
6,Llama-3.1-70B-Instruct,neutral,0.0,0.0,0.0,0.0
7,Llama-3.1-70B-Instruct,positive,0.9860557399543844,0.7274853961174877,0.8372616629666367,73097.0
8,Llama-3.1-70B-Instruct,macro avg,0.593372169635936,0.5426599215917528,0.560398909602177,100000.0
9,Llama-3.1-70B-Instruct,weighted avg,0.9344033329059961,0.77403,0.8390570085416292,100000.0
10,Ministral-8B-Instruct-2410,error_class,0.0,0.0,0.0,126.0
11,Ministral-8B-Instruct-2410,negative,0.6276676363458576,0.9543917035274876,0.757292434744138,26903.0
12,Ministral-8B-Instruct-2410,positive,0.9795478827140605,0.7901965880952707,0.874742549067119,73097.0
13,Ministral-8B-Instruct-2410,macro avg,0.5357385063533061,0.5815294305409194,0.544011661270419,100000.0
14,Ministral-8B-Instruct-2410,weighted avg,0.8848815400336228,0.83437,0.8431449448108074,100000.0
15,gemma-2-9b-it,error_class,0.0,0.0,0.0,47683.0
16,gemma-2-9b-it,negative,0.7446920512370592,0.3155038471545924,0.44322602543014544,26903.0
17,gemma-2-9b-it,positive,0.98543463916518,0.5516368660820553,0.7073217793993826,73097.0
18,gemma-2-9b-it,macro avg,0.5767088968007464,0.2890469044122159,0.383515934943176,100000.0
19,gemma-2-9b-it,weighted avg,0.9206676607348777,0.48811,0.6362720987090387,100000.0
20,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,4883.0
21,SauerkrautLM-gemma-2-9b-it,negative,0.7075642922960936,0.9419023900680221,0.8080872504624019,26903.0
22,SauerkrautLM-gemma-2-9b-it,positive,0.9836604613516795,0.7980491675444956,0.8811866979856647,73097.0
23,SauerkrautLM-gemma-2-9b-it,macro avg,0.5637415845492577,0.579983852537506,0.5630913161493556,100000.0
24,SauerkrautLM-gemma-2-9b-it,weighted avg,0.9093823089906553,0.83675,0.8615207536184813,100000.0
25,Teuken-7B-instruct-research-v0.4,error_class,0.0,0.0,0.0,1.0
26,Teuken-7B-instruct-research-v0.4,negative,0.4530347934832885,0.9829758762963239,0.6202213987522867,26903.0
27,Teuken-7B-instruct-research-v0.4,positive,0.9889972613270552,0.5631968480238587,0.7176939236247308,73097.0
28,Teuken-7B-instruct-research-v0.4,macro avg,0.48067735160344793,0.5153909081067275,0.4459717741256725,100000.0
29,Teuken-7B-instruct-research-v0.4,weighted avg,0.8448072786030467,0.67613,0.6914708902582971,100000.0
