,Model,Class,Precision,Recall,F1-Score,Support
0,Llama-3.1-8B-Instruct,negative,0.6602409638554216,0.9383561643835616,0.7751060820367751,292.0
1,Llama-3.1-8B-Instruct,positive,0.9697478991596639,0.8036211699164345,0.8789032749428789,718.0
2,Llama-3.1-8B-Instruct,macro avg,0.8149944315075428,0.870988667149998,0.8270046784898271,1010.0
3,Llama-3.1-8B-Instruct,weighted avg,0.8802666861806157,0.8425742574257425,0.8488945815482429,1010.0
4,Llama-3.1-70B-Instruct,error_class,0.0,0.0,0.0,1.0
5,Llama-3.1-70B-Instruct,negative,0.7828571428571428,0.9383561643835616,0.8535825545171339,292.0
6,Llama-3.1-70B-Instruct,positive,0.9726858877086495,0.8927576601671309,0.9310094408133623,718.0
7,Llama-3.1-70B-Instruct,macro avg,0.5851810101885975,0.6103712748502308,0.5948639984434988,1010.0
8,Llama-3.1-70B-Instruct,weighted avg,0.9178047060288079,0.905940594059406,0.9086246380425714,1010.0
9,Ministral-8B-Instruct-2410,error_class,0.0,0.0,0.0,1.0
10,Ministral-8B-Instruct-2410,negative,0.6241758241758242,0.9726027397260274,0.7603748326639893,292.0
11,Ministral-8B-Instruct-2410,positive,0.9855595667870036,0.7604456824512534,0.8584905660377359,718.0
12,Ministral-8B-Instruct-2410,macro avg,0.536578463654276,0.577682807392427,0.5396217995672418,1010.0
13,Ministral-8B-Instruct-2410,weighted avg,0.8810803065469398,0.8217821782178217,0.8301244332207715,1010.0
14,gemma-2-9b-it,error_class,0.0,0.0,0.0,971.0
15,gemma-2-9b-it,negative,1.0,0.0410958904109589,0.07894736842105263,292.0
16,gemma-2-9b-it,positive,1.0,0.037604456824512536,0.07248322147651007,718.0
17,gemma-2-9b-it,macro avg,0.6666666666666666,0.02623344907849048,0.05047686329918757,1010.0
18,gemma-2-9b-it,weighted avg,1.0,0.03861386138613861,0.07435206395948672,1010.0
19,SauerkrautLM-gemma-2-9b-it,error_class,0.0,0.0,0.0,22.0
20,SauerkrautLM-gemma-2-9b-it,negative,0.744,0.9554794520547946,0.8365817091454273,292.0
21,SauerkrautLM-gemma-2-9b-it,positive,0.9804241435562806,0.8370473537604457,0.9030803906836965,718.0
22,SauerkrautLM-gemma-2-9b-it,macro avg,0.5748080478520935,0.5975089352717468,0.5798873666097079,1010.0
23,SauerkrautLM-gemma-2-9b-it,weighted avg,0.9120718169043659,0.8712871287128713,0.883855029288474,1010.0
24,Teuken-7B-instruct-research-v0.4,negative,0.30858960763520676,0.9965753424657534,0.47125506072874496,292.0
25,Teuken-7B-instruct-research-v0.4,positive,0.9850746268656716,0.09192200557103064,0.1681528662420382,718.0
26,Teuken-7B-instruct-research-v0.4,macro avg,0.6468321172504392,0.544248674018392,0.3197039634853916,1010.0
27,Teuken-7B-instruct-research-v0.4,weighted avg,0.7894967797218144,0.35346534653465345,0.25578241157878906,1010.0
