method,,negative,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.33587786259541985,0.6907730673316709,0.5151155898043864,0.5139228370380337,0.5588535866541838
bpw_dict,recall,0.4520547945205479,0.38579387186629527,0.5151155898043864,0.5057723028773475,0.5151155898043864
bpw_dict,f1-score,0.38540145985401464,0.4950848972296693,0.5151155898043864,0.4888245394100603,0.5125794654916735
bpw_dict,support,292.0,718.0,0.5151155898043864,1010.0,1010.0
slk,precision,0.5178571428571429,0.6439290586630286,0.5998814463544754,0.5793740264609223,0.594982062327989
slk,recall,0.2979452054794521,0.6573816155988857,0.5998814463544754,0.5414851097341381,0.5998814463544754
slk,f1-score,0.3782608695652174,0.6505858028945555,0.5998814463544754,0.5493740446134991,0.5908845689069856
slk,support,292.0,718.0,0.5998814463544754,1010.0,1010.0
bawl_r,precision,0.2474747474747475,0.4699588477366255,0.4582098399525785,0.4252759185984382,0.46693890080192757
bawl_r,recall,0.1678082191780822,0.7952646239554317,0.4582098399525785,0.396356629641255,0.4582098399525785
bawl_r,f1-score,0.19999999999999998,0.5907915157785825,0.4582098399525785,0.37085269243092606,0.41518925339308393
bawl_r,support,292.0,718.0,0.4582098399525785,1010.0,1010.0
sentiws_dict,precision,0.2978723404255319,0.5565509518477044,0.5074096028452875,0.5101164060663874,0.5596823702920919
sentiws_dict,recall,0.4794520547945205,0.692200557103064,0.5074096028452875,0.49837952646709244,0.5074096028452875
sentiws_dict,f1-score,0.36745406824146987,0.617008069522036,0.5074096028452875,0.47400819177531445,0.5018009200196213
sentiws_dict,support,292.0,718.0,0.5074096028452875,1010.0,1010.0
german_polarity_clues,precision,0.2276707530647986,0.5868421052631579,0.45346769413159455,0.44847057824415026,0.5022234918789041
german_polarity_clues,recall,0.4452054794520548,0.6211699164345403,0.45346769413159455,0.4485160723856351,0.45346769413159455
german_polarity_clues,f1-score,0.3012746234067208,0.6035182679296346,0.45346769413159455,0.42357246103596485,0.4558560683684482
german_polarity_clues,support,292.0,718.0,0.45346769413159455,1010.0,1010.0
bert-large-NLI,precision,0.37755102040816324,0.5958986731001207,0.5198577356253705,0.5038310572563844,0.5348877178587309
bert-large-NLI,recall,0.6335616438356164,0.6880222841225627,0.5198577356253705,0.5380168976995013,0.5198577356253705
bert-large-NLI,f1-score,0.4731457800511508,0.638655462184874,0.5198577356253705,0.4969162035523591,0.5057857486927849
bert-large-NLI,support,292.0,718.0,0.5198577356253705,1010.0,1010.0
guhr_pipe,precision,0.3611111111111111,0.7666666666666667,0.4167160640189686,0.5138643808430768,0.5548690652328657
guhr_pipe,recall,0.13356164383561644,0.03203342618384401,0.4167160640189686,0.3708064315131338,0.4167160640189686
guhr_pipe,f1-score,0.19499999999999998,0.061497326203208566,0.4167160640189686,0.27747275353823636,0.2910453780737935
guhr_pipe,support,292.0,718.0,0.4167160640189686,1010.0,1010.0
xlm_t,precision,0.6122448979591837,0.0,0.9372384937238494,0.3702970297029703,0.5164944638943444,0.8432799492057479
xlm_t,recall,0.5136986301369864,0.0,0.31197771587743733,0.3702970297029703,0.2752254486714745,0.3702970297029703
xlm_t,f1-score,0.5586592178770949,0.0,0.46812957157784746,0.3702970297029703,0.34226292981831413,0.49430249902277845
xlm_t,support,292.0,0.0,718.0,0.3702970297029703,1010.0,1010.0
